"","orig.ident","nCount_RNA","nFeature_RNA","Sample","Sample_ID","Plate_ID","Well_ID","Tissue","Pop","Batch","percent.mt","RNA_snn_res.1.5","seurat_clusters","type"
"30","SeuratProject",4621978.00000001,4627,"S030_P4_C8_Marrow_ZolGFPtd_Batch1","S030","P4","C8","Marrow","ZolGFPtd","Batch1",0.409768501710739,"0","0","Osteomorph"
"31","SeuratProject",2894359.21,4457,"S031_P4_F8_Marrow_ZolGFPtd_Batch1","S031","P4","F8","Marrow","ZolGFPtd","Batch1",0.496099445790628,"1","1","Osteomorph"
"32","SeuratProject",4479663.69,4926,"S032_P4_C9_Marrow_ZolGFPtd_Batch1","S032","P4","C9","Marrow","ZolGFPtd","Batch1",0.788566116667566,"1","1","Osteomorph"
"33","SeuratProject",4348108.76000001,3097,"S033_P4_E9_Marrow_ZolGFPtd_Batch1","S033","P4","E9","Marrow","ZolGFPtd","Batch1",0.497029655716339,"1","1","Osteomorph"
"34","SeuratProject",2254273.7,2713,"S034_P4_F9_Marrow_ZolGFPtd_Batch1","S034","P4","F9","Marrow","ZolGFPtd","Batch1",0.196393188635435,"4","4","Osteomorph"
"35","SeuratProject",2993964.84,2444,"S035_P1_C1_Bone_GFP_Batch2","S035","P1","C1","Bone","GFP","Batch2",0.255549427227074,"2","2","Other"
"36","SeuratProject",2159778.78,1698,"S036_P1_E1_Bone_GFP_Batch2","S036","P1","E1","Bone","GFP","Batch2",0.107235056731134,"5","5","Other"
"37","SeuratProject",3268416.43,2004,"S037_P1_F1_Bone_GFP_Batch2","S037","P1","F1","Bone","GFP","Batch2",0.127214511646547,"2","2","Other"
"38","SeuratProject",5347362.52,2254,"S038_P1_C2_Bone_td_Batch2","S038","P1","C2","Bone","td","Batch2",0.154069412148253,"4","4","Other"
"39","SeuratProject",2532958.43,1912,"S039_P1_D2_Bone_td_Batch2","S039","P1","D2","Bone","td","Batch2",0.309712149519959,"5","5","Other"
"40","SeuratProject",2223782.61,4657,"S040_P1_E2_Bone_td_Batch2","S040","P1","E2","Bone","td","Batch2",0.18931976448903,"3","3","Other"
"41","SeuratProject",4490014.04,5912,"S041_P1_F2_Bone_td_Batch2","S041","P1","F2","Bone","td","Batch2",0.174419499142591,"3","3","Other"
"42","SeuratProject",4084397.27000001,6628,"S042_P1_C3_Bone_ZolGFPtd_Batch2","S042","P1","C3","Bone","ZolGFPtd","Batch2",1.1715564583168,"0","0","Osteoclast"
"43","SeuratProject",4324222.78,5828,"S043_P1_E3_Bone_ZolGFPtd_Batch2","S043","P1","E3","Bone","ZolGFPtd","Batch2",0.538141561707419,"0","0","Osteoclast"
"44","SeuratProject",3095483.22,5528,"S044_P1_F3_Bone_ZolGFPtd_Batch2","S044","P1","F3","Bone","ZolGFPtd","Batch2",0.812251535965359,"0","0","Osteoclast"
"45","SeuratProject",4076528.93000001,7479,"S045_P1_D4_Bone_ZolGFPtd_Batch2","S045","P1","D4","Bone","ZolGFPtd","Batch2",1.12914763492185,"6","6","Osteoclast"
"46","SeuratProject",4317832.6,7850,"S046_P1_E4_Bone_ZolGFPtd_Batch2","S046","P1","E4","Bone","ZolGFPtd","Batch2",0.620518961295535,"0","0","Osteoclast"
"47","SeuratProject",3917138.92,5061,"S047_P1_F4_Bone_ZolGFPtd_Batch2","S047","P1","F4","Bone","ZolGFPtd","Batch2",1.37393518839,"0","0","Osteoclast"
"48","SeuratProject",4400368,2533,"S048_P1_C6_Marrow_GFP_Batch2","S048","P1","C6","Marrow","GFP","Batch2",0.123671020241943,"4","4","Other"
"49","SeuratProject",3743508.71,4463,"S049_P1_F6_Marrow_GFP_Batch2","S049","P1","F6","Marrow","GFP","Batch2",1.35754859776992,"1","1","Other"
"50","SeuratProject",2746046.05,3652,"S050_P1_C7_Marrow_td_Batch2","S050","P1","C7","Marrow","td","Batch2",0.0862450941053956,"2","2","Other"
"51","SeuratProject",4358686.08,3478,"S051_P1_D7_Marrow_td_Batch2","S051","P1","D7","Marrow","td","Batch2",0.285473644387806,"2","2","Other"
"52","SeuratProject",4009386.07,5202,"S052_P1_E7_Marrow_td_Batch2","S052","P1","E7","Marrow","td","Batch2",0.137942315941652,"3","3","Other"
"53","SeuratProject",3590088.11,3365,"S053_P1_F7_Marrow_td_Batch2","S053","P1","F7","Marrow","td","Batch2",0.61040479588675,"1","1","Other"
"54","SeuratProject",3924400.39,3981,"S054_P1_C8_Marrow_ZolGFPtd_Batch2","S054","P1","C8","Marrow","ZolGFPtd","Batch2",0.156208831688553,"4","4","Osteomorph"
"55","SeuratProject",3576313.74000001,6571,"S055_P1_D8_Marrow_ZolGFPtd_Batch2","S055","P1","D8","Marrow","ZolGFPtd","Batch2",0.484107415027854,"0","0","Osteomorph"
"56","SeuratProject",3078894.62,5884,"S056_P1_E8_Marrow_ZolGFPtd_Batch2","S056","P1","E8","Marrow","ZolGFPtd","Batch2",0.747719972306164,"3","3","Osteomorph"
"57","SeuratProject",3649034.44,4903,"S057_P1_C9_Marrow_ZolGFPtd_Batch2","S057","P1","C9","Marrow","ZolGFPtd","Batch2",0.525273474809955,"2","2","Osteomorph"
"58","SeuratProject",5369770.28999999,5264,"S058_P1_D9_Marrow_ZolGFPtd_Batch2","S058","P1","D9","Marrow","ZolGFPtd","Batch2",0.65719701391547,"1","1","Osteomorph"
"59","SeuratProject",2901051.92,5181,"S059_P1_E9_Marrow_ZolGFPtd_Batch2","S059","P1","E9","Marrow","ZolGFPtd","Batch2",0.510506202867268,"1","1","Osteomorph"
"60","SeuratProject",4276489.80000001,4135,"S060_P1_F9_Marrow_ZolGFPtd_Batch2","S060","P1","F9","Marrow","ZolGFPtd","Batch2",1.13848278090129,"1","1","Osteomorph"
"61","SeuratProject",3696835.03000001,5238,"S061_P2_E1_Bone_GFP_Batch2","S061","P2","E1","Bone","GFP","Batch2",0.330007693094165,"1","1","Other"
"62","SeuratProject",4132493.5,4031,"S062_P2_F1_Bone_GFP_Batch2","S062","P2","F1","Bone","GFP","Batch2",0.622973030689582,"1","1","Other"
"63","SeuratProject",2860335.38,4777,"S063_P2_C2_Bone_td_Batch2","S063","P2","C2","Bone","td","Batch2",0.252443473953743,"3","3","Other"
"64","SeuratProject",3113466.59,5010,"S064_P2_D2_Bone_td_Batch2","S064","P2","D2","Bone","td","Batch2",1.83894377360253,"1","1","Other"
"65","SeuratProject",4445205.46000001,6036,"S065_P2_D3_Bone_ZolGFPtd_Batch2","S065","P2","D3","Bone","ZolGFPtd","Batch2",0.938329631224738,"0","0","Osteoclast"
"66","SeuratProject",6856849.53,5492,"S066_P2_E3_Bone_ZolGFPtd_Batch2","S066","P2","E3","Bone","ZolGFPtd","Batch2",1.13307124008014,"0","0","Osteoclast"
"67","SeuratProject",2601869.3,5915,"S067_P2_C4_Bone_ZolGFPtd_Batch2","S067","P2","C4","Bone","ZolGFPtd","Batch2",1.50120684386414,"6","6","Osteoclast"
"68","SeuratProject",4101883.94000001,5783,"S068_P2_D4_Bone_ZolGFPtd_Batch2","S068","P2","D4","Bone","ZolGFPtd","Batch2",0.473976111571796,"0","0","Osteoclast"
"69","SeuratProject",4359382.55000001,6012,"S069_P2_E4_Bone_ZolGFPtd_Batch2","S069","P2","E4","Bone","ZolGFPtd","Batch2",0.72550044959922,"1","1","Osteoclast"
"70","SeuratProject",2503914.76,5982,"S070_P2_F4_Bone_ZolGFPtd_Batch2","S070","P2","F4","Bone","ZolGFPtd","Batch2",0.686301318020906,"0","0","Osteoclast"
"71","SeuratProject",3373677.97,3002,"S071_P2_C6_Marrow_GFP_Batch2","S071","P2","C6","Marrow","GFP","Batch2",0.488219686243497,"1","1","Other"
"72","SeuratProject",5031376.31000001,4814,"S072_P2_D6_Marrow_GFP_Batch2","S072","P2","D6","Marrow","GFP","Batch2",0.83550359603295,"1","1","Other"
"73","SeuratProject",4050648.53,5571,"S073_P2_F6_Marrow_GFP_Batch2","S073","P2","F6","Marrow","GFP","Batch2",0.818451409804247,"1","1","Other"
"74","SeuratProject",3152070.17,4778,"S074_P2_D7_Marrow_td_Batch2","S074","P2","D7","Marrow","td","Batch2",0.70137620064467,"1","1","Other"
"75","SeuratProject",4590602.3,5407,"S075_P2_E7_Marrow_td_Batch2","S075","P2","E7","Marrow","td","Batch2",0.262269724388889,"3","3","Other"
